thread_id,phase,start_ns,end_ns,duration_ns
-2,ckpt_trigger,13124065974249,13124066190688,216439
-2,ckpt_sync,13124066194987,13124066197050,2063
-1,dump_memory,13124066214042,13124066602609,388567
-1,dump_global,13124066603280,13124066648425,45145
-1,dump_pc,13124066648836,13124066669055,20219
-1,dump_stack,13124066669265,13124069647003,2977738
-1,dump_thread_state,13124069647795,13124069694844,47049
-1,dump_total,13124066214022,13124069695195,3481173
-2,ckpt_total,13124065974249,13124069730922,3756673
