thread_id,phase,start_ns,end_ns,duration_ns
-2,ckpt_trigger,17439413949111,17439414175497,226386
-2,ckpt_sync,17439414180016,17439414181949,1933
-1,dump_memory,17439414197559,17439414430898,233339
-1,dump_global,17439414431339,17439414452168,20829
-1,dump_pc,17439414452639,17439414463469,10830
-1,dump_stack_type_stack,17439414477797,17439414512873,35076
-1,dump_stack_frame_data,17439414477707,17439414513394,35687
-1,dump_stack_type_stack,17439414534544,17439414552528,17984
-1,dump_stack_frame_data,17439414534454,17439414553379,18925
-1,dump_stack_type_stack,17439414569790,17439414588505,18715
-1,dump_stack_frame_data,17439414569710,17439414588856,19146
-1,dump_stack_type_stack,17439414605067,17439414619714,14647
-1,dump_stack_frame_data,17439414605006,17439414620005,14999
-1,dump_stack_type_stack,17439414635584,17439414650722,15138
-1,dump_stack_frame_data,17439414635534,17439414651033,15499
-1,dump_stack_type_stack,17439414666533,17439414679988,13455
-1,dump_stack_frame_data,17439414666473,17439414680309,13836
-1,dump_stack_frames,17439414463760,17439414685609,221849
-1,dump_stack_frame_count,17439414685739,17439414701890,16151
-1,dump_stack,17439414463620,17439414702080,238460
-1,dump_thread_state,17439414702260,17439414725704,23444
-1,dump_total,17439414197539,17439414725895,528356
-2,ckpt_total,17439413949111,17439414740192,791081
