thread_id,phase,start_ns,end_ns,duration_ns
-2,ckpt_trigger,429607322875992,429607323114133,238141
-2,ckpt_sync,429607323118060,429607323136976,18916
-1,dump_memory,429607323159518,429607323490303,330785
-1,dump_global,429607323490904,429607323534136,43232
-1,dump_pc,429607323534467,429607323553102,18635
-1,dump_stack_type_stack,429607323587246,429607323617013,29767
-1,dump_stack_frame_data,429607323587086,429607323617454,30368
-1,dump_stack_type_stack,429607323663039,429607323682225,19186
-1,dump_stack_frame_data,429607323662929,429607323682676,19747
-1,dump_stack_frames,429607323553392,429607323707623,154231
-1,dump_stack_frame_count,429607323707824,429607323745626,37802
-1,dump_stack,429607323553262,429607323746036,192774
-1,dump_thread_state,429607323746137,429607323771334,25197
-1,dump_total,429607323154308,429607323771484,617176
-2,ckpt_total,429607322875992,429607323824385,948393
