thread_id,phase,start_ns,end_ns,duration_ns
-2,ckpt_trigger,17282822529270,17282822708156,178886
-2,ckpt_sync,17282822711563,17282822713356,1793
-1,dump_memory,17282822730179,17282823085618,355439
-1,dump_global,17282823086149,17282823131114,44965
-1,dump_pc,17282823131465,17282823151563,20098
-1,dump_stack_type_stack,17282823171600,17282823200184,28584
-1,dump_stack_frame_data,17282823171380,17282823200735,29355
-1,dump_stack_type_stack,17282823241492,17282823259856,18364
-1,dump_stack_frame_data,17282823241402,17282823260327,18925
-1,dump_stack_frames,17282823151893,17282823281016,129123
-1,dump_stack_frame_count,17282823281216,17282823318758,37542
-1,dump_stack,17282823151743,17282823319109,167366
-1,dump_thread_state,17282823319199,17282823347282,28083
-1,dump_total,17282822730149,17282823347472,617323
-2,ckpt_total,17282822529270,17282823359645,830375
